image,pred_count,suspect_count,status,signal,confidence,gt_count,is_correct,is_multi_gt,is_multi_pred,read_ms,preprocess_ms,infer_ms,post_ms,signal_ms,total_ms,vis_path,error_type,reasons
Hikrobot MV-PD010003-12C-8C (DA8401808)_021651843_90_1652237_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,72.827,0.0,177.727,0.436,0.002,251.002,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021653739_91_1654114_Panorama.jpg,1,0,SINGLE,PASS,0.695251,1,1,0,0,86.171,0.0,180.638,0.405,0.002,267.224,,,exactly one high-confidence parcel
Hikrobot MV-PD010003-12C-8C (DA8401808)_021654339_92_1654761_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,95.312,0.0,155.518,0.442,0.002,251.282,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021655152_93_1655523_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.390452,1,0,0,0,91.301,0.0,179.564,0.337,0.001,271.211,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021657961_94_1658420_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,79.845,0.0,139.41,0.338,0.001,219.6,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021703821_96_1704184_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,79.471,0.0,147.212,0.479,0.001,227.171,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021705119_97_1705730_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.320313,1,0,0,0,94.741,0.0,173.005,0.421,0.002,268.177,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021710040_100_1710604_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,74.898,0.0,166.351,0.487,0.001,241.745,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021713340_102_1713714_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,79.022,0.0,136.105,0.403,0.001,215.54,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021720992_106_1721487_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.339697,1,0,0,0,81.102,0.0,181.986,0.427,0.001,263.525,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021725441_108_1725962_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,91.559,0.0,144.831,0.338,0.001,236.735,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021727001_109_1727660_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.30339,1,0,0,0,79.236,0.0,169.485,0.463,0.002,249.195,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021730752_111_1731172_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.323695,1,0,0,0,93.227,0.0,165.304,0.414,0.001,258.955,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021735953_114_1736299_Panorama.jpg,0,0,UNKNOWN,REVIEW,0.0,1,0,0,0,98.926,0.0,142.601,0.339,0.001,241.874,,unknown,no valid parcel candidate found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021741802_116_1742241_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.34778,1,0,0,0,77.47,0.0,161.62,0.368,0.001,239.467,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021744303_117_1744682_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.391784,1,0,0,0,77.983,0.0,165.904,0.538,0.001,244.435,,unknown,only low-confidence candidates found
Hikrobot MV-PD010003-12C-8C (DA8401808)_021746432_118_1747082_Panorama.jpg,0,1,UNKNOWN,REVIEW,0.350342,1,0,0,0,98.296,0.0,98.493,0.465,0.001,197.262,,unknown,only low-confidence candidates found
